date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:56	1574/1574	---M--	200	added ('OK')	text/plain	etag:%229fba6-626-57cb0ce6cbaad%22	http://www.baitec.buenosaires.gob.ar/robots.txt		(from )
18:31:56	1094/1094	---M-Z	200	added ('OK')	text/html	etag:%226e419e-446-4711c8d456180%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/index.html	(from )
18:31:56	4114/4114	---M-Z	200	added ('OK')	text/html	etag:%226e4177-1012-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/)
18:31:56	2364/2364	---M-Z	200	added ('OK')	text/html	etag:%226e4188-93c-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/princi.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/princi.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/)
18:31:57	1638/1638	---M--	200	added ('OK')	image/jpeg	etag:%226e4194-666-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fm.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fm.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:57	1373/1373	---M--	200	added ('OK')	image/jpeg	etag:%226e4193-55d-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj1.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj1.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:57	4190/4190	---M-Z	200	added ('OK')	text/html	etag:%226e41ac-105e-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/datos.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/datos.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	1174/1174	---M--	200	added ('OK')	image/jpeg	etag:%226e4191-496-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj2.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj2.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	49384/49384	---M-Z	200	added ('OK')	text/html	etag:%226e41a7-c0e8-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/comuni.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/comuni.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	1578/1578	---M--	200	added ('OK')	image/jpeg	etag:%226e41bc-62a-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj3.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj3.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	3455/3455	---M-Z	200	added ('OK')	text/html	etag:%226e418d-d7f-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/estruct.htm	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/estruct.html	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	30373/30373	---M--	200	added ('OK')	image/gif	etag:%226e4196-76a5-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/esc.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/esc.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
18:31:58	1438/1438	---M--	200	added ('OK')	image/jpeg	etag:%226e4199-59e-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj4.jpg	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/mbj4.jpg	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/lat.htm)
